timestamp,datetime,mid_price,inventory,cash,pnl,spread_bps,bid_price,ask_price,bid_fills,ask_fills,gamma,kappa
1763816236383,N/A,2718.750,0,1000.0,1000.0,64.51,2709.98,2727.52,0,0,0.100000,10.00
1763816296428,N/A,2719.950,0,1000.0,1000.0,14.71,2717.95,2721.95,0,0,0.100000,0.52
1763816356428,N/A,2720.950,0,1000.0,1000.0,13.89,2719.06,2722.84,0,0,0.100000,0.52
1763816416528,N/A,2721.150,0,1000.0,1000.0,12.86,2719.40,2722.90,0,0,0.100000,0.56
1763816476528,N/A,2719.250,0,1000.0,1000.0,11.47,2717.69,2720.81,0,0,0.100000,0.63
1763816536528,N/A,2717.450,0,1000.0,1000.0,12.73,2715.72,2719.18,0,0,0.100000,0.56
1763816596529,N/A,2714.350,0,1000.0,1000.0,11.86,2712.74,2715.96,0,0,0.100000,0.61
1763816656530,N/A,2714.850,0,1000.0,1000.0,11.57,2713.28,2716.42,0,0,0.100000,0.63
1763816716530,N/A,2713.650,0,1000.0,1000.0,11.06,2712.15,2715.15,0,0,0.100000,0.66
1763816776638,N/A,2716.450,0,1000.0,1000.0,10.75,2714.99,2717.91,0,0,0.100000,0.68
1763816836728,N/A,2718.350,0,1000.0,1000.0,10.52,2716.92,2719.78,0,0,0.100000,0.70
1763816896732,N/A,2717.950,0,1000.0,1000.0,10.38,2716.54,2719.36,0,0,0.100000,0.71
1763816956831,N/A,2723.950,0,1000.0,1000.0,9.77,2722.62,2725.28,0,0,0.100000,0.76
1763817016928,N/A,2728.950,0,1000.0,1000.0,9.53,2727.65,2730.25,0,0,0.100000,0.78
1763817076930,N/A,2733.550,0,1000.0,1000.0,9.44,2732.26,2734.84,0,0,0.100000,0.79
1763817136931,N/A,2727.950,0,1000.0,1000.0,9.38,2726.67,2729.23,0,0,0.100000,0.80
1763817197033,N/A,2729.350,0,1000.0,1000.0,9.23,2728.09,2730.61,0,0,0.100000,0.81
1763817257128,N/A,2730.150,0,1000.0,1000.0,9.16,2728.90,2731.40,0,0,0.100000,0.82
1763817317132,N/A,2728.850,0,1000.0,1000.0,9.09,2727.61,2730.09,0,0,0.100000,0.83
1763817377132,N/A,2728.650,0,1000.0,1000.0,8.94,2727.43,2729.87,0,0,0.100000,0.84
1763817437133,N/A,2725.650,0,1000.0,1000.0,8.81,2724.45,2726.85,0,0,0.100000,0.86
1763817497228,N/A,2725.950,0,1000.0,1000.0,8.73,2724.76,2727.14,0,0,0.100000,0.86
1763817557228,N/A,2725.050,0,1000.0,1000.0,8.66,2723.87,2726.23,0,0,0.100000,0.87
1763817617229,N/A,2724.350,0,1000.0,1000.0,8.66,2723.17,2725.53,0,0,0.100000,0.87
