timestamp,datetime,mid_price,volatility,kappa,A,gamma,optimal_spread_bps,bid_spread_bps,ask_spread_bps,bid_price,ask_price,reservation_price
1763818818329,N/A,2716.350,0.000060,0.92,0.00,0.10,24.95,12.47,12.47,2712.96,2719.74,2716.35
1763818878331,N/A,2714.250,0.000060,0.92,0.00,0.10,24.97,12.48,12.48,2710.86,2717.64,2714.25
1763818938427,N/A,2716.750,0.000059,0.91,0.00,0.10,25.02,12.51,12.51,2713.35,2720.15,2716.75
1763818998428,N/A,2718.250,0.000059,0.91,0.00,0.10,24.72,12.36,12.36,2714.89,2721.61,2718.25
1763819058437,N/A,2718.6,0.000059,0.92,0.00,0.10,24.49,12.24,12.24,2715.27,2721.93,2718.60
1763819118528,N/A,2720.750,0.000059,0.92,0.00,0.10,24.69,12.34,12.34,2717.39,2724.11,2720.75
1763819178528,N/A,2720.950,0.000059,0.93,0.00,0.10,24.55,12.27,12.27,2717.61,2724.29,2720.95
1763819238533,N/A,2722.850,0.000059,0.93,0.00,0.10,24.38,12.19,12.19,2719.53,2726.17,2722.85
1763819298632,N/A,2723.550,0.000058,1.00,0.00,0.10,23.64,11.82,11.82,2720.33,2726.77,2723.55
1763819358727,N/A,2722.550,0.000058,1.06,0.00,0.10,23.28,11.64,11.64,2719.38,2725.72,2722.55
1763819418729,N/A,2721.250,0.000058,1.07,0.00,0.10,23.15,11.57,11.57,2718.10,2724.40,2721.25
1763819478730,N/A,2720.250,0.000058,1.07,0.00,0.10,23.01,11.50,11.50,2717.12,2723.38,2720.25
1763819538829,N/A,2721.350,0.000058,1.07,0.00,0.10,22.85,11.42,11.42,2718.24,2724.46,2721.35
1763819598928,N/A,2716.850,0.000058,3.11,0.00,0.10,18.77,9.38,9.38,2714.30,2719.40,2716.85
1763819658932,N/A,2716.050,0.000058,3.13,0.00,0.10,18.55,9.27,9.27,2713.53,2718.57,2716.05
1763819719033,N/A,2716.050,0.000057,5.16,0.01,0.10,17.37,8.68,8.68,2713.69,2718.41,2716.05
1763819779033,N/A,2717.950,0.000057,5.13,0.01,0.10,17.43,8.71,8.71,2715.58,2720.32,2717.95
1763819839130,N/A,2718.250,0.000057,6.78,0.01,0.10,16.99,8.49,8.49,2715.94,2720.56,2718.25
1763819899229,N/A,2717.250,0.000057,6.76,0.01,0.10,17.07,8.53,8.53,2714.93,2719.57,2717.25
1763819959333,N/A,2718.650,0.000057,6.78,0.01,0.10,17.14,8.57,8.57,2716.32,2720.98,2718.65
1763820019434,N/A,2720.650,0.000057,6.82,0.01,0.10,17.20,8.60,8.60,2718.31,2722.99,2720.65
1763820079535,N/A,2727.450,0.000058,6.26,0.01,0.10,17.81,8.90,8.90,2725.02,2729.88,2727.45
1763820139628,N/A,2728.050,0.000059,6.61,0.01,0.10,18.03,9.01,9.01,2725.59,2730.51,2728.05
1763820199632,N/A,2730.650,0.000059,6.63,0.01,0.10,18.01,9.00,9.00,2728.19,2733.11,2730.65
1763820259729,N/A,2731.750,0.000059,6.66,0.01,0.10,18.23,9.11,9.11,2729.26,2734.24,2731.75
1763820319832,N/A,2734.7,0.000059,6.44,0.01,0.10,18.28,9.14,9.14,2732.20,2737.20,2734.70
1763820379929,N/A,2732.950,0.000059,6.44,0.01,0.10,18.36,9.18,9.18,2730.44,2735.46,2732.95
1763820439930,N/A,2735.050,0.000059,6.58,0.01,0.10,18.50,9.25,9.25,2732.52,2737.58,2735.05
1763820500035,N/A,2737.450,0.000060,6.60,0.01,0.10,18.84,9.42,9.42,2734.87,2740.03,2737.45
1763820560131,N/A,2735.450,0.000060,6.58,0.01,0.10,18.71,9.35,9.35,2732.89,2738.01,2735.45
1763820620227,N/A,2732.650,0.000059,6.60,0.01,0.10,18.44,9.22,9.22,2730.13,2735.17,2732.65
1763820680228,N/A,2729.750,0.000060,6.59,0.01,0.10,18.53,9.26,9.26,2727.22,2732.28,2729.75
1763820740228,N/A,2733.350,0.000059,7.15,0.01,0.10,18.29,9.14,9.14,2730.85,2735.85,2733.35
1763820800234,N/A,2733.050,0.000059,7.17,0.01,0.10,18.22,9.11,9.11,2730.56,2735.54,2733.05
1763820860333,N/A,2738.6,0.000059,7.25,0.01,0.10,18.47,9.23,9.23,2736.07,2741.13,2738.60
1763820920430,N/A,2741.250,0.000060,5.87,0.01,0.10,19.11,9.55,9.55,2738.63,2743.87,2741.25
